tx_id,user_id,timestamp,tx_type,amount_usd,counterparty_country
tx_u0000_77867,u0000,2025-05-11 06:11:02,withdraw,1289.52,RU
tx_u0000_38905,u0000,2025-04-15 13:57:46,deposit,703.01,RU
tx_u0000_68805,u0000,2025-01-30 10:04:31,deposit,1125.41,US
tx_u0000_12627,u0000,2025-04-26 07:23:34,withdraw,436.25,CN
tx_u0000_47577,u0000,2025-05-17 09:33:38,withdraw,2448.25,IR
tx_u0000_36131,u0000,2025-01-13 19:36:52,deposit,1452.75,RU
tx_u0000_5921,u0000,2025-06-08 08:30:14,deposit,626.39,SA
tx_u0000_11267,u0000,2025-01-31 00:33:56,deposit,4621.13,CN
tx_u0000_42800,u0000,2025-02-16 12:10:50,withdraw,3528.55,IR
tx_u0000_45612,u0000,2025-02-02 22:53:48,deposit,68.8,IR
tx_u0000_61660,u0000,2025-04-27 09:53:21,withdraw,1607.91,RU
tx_u0000_77026,u0000,2025-01-27 22:44:27,withdraw,741.45,IN
tx_u0000_81842,u0000,2025-05-22 06:45:57,withdraw,857.34,US
tx_u0000_13324,u0000,2025-01-26 08:46:07,trade,407.71,NG
tx_u0000_91613,u0000,2025-06-12 05:34:17,trade,2206.88,NG
tx_u0000_13247,u0000,2025-02-13 08:55:59,deposit,4155.53,IN
tx_u0000_77494,u0000,2025-06-01 05:28:54,deposit,229.83,BR
tx_u0000_79964,u0000,2025-03-30 21:53:24,trade,780.81,RU
tx_u0000_69028,u0000,2025-05-05 22:52:16,withdraw,5730.62,IR
tx_u0000_9422,u0000,2025-04-30 00:28:07,trade,41.69,NG
tx_u0000_44105,u0000,2025-01-14 14:34:36,withdraw,1043.54,NG
tx_u0000_45079,u0000,2025-04-02 07:38:39,trade,242.69,BR
tx_u0000_42560,u0000,2025-05-25 18:49:18,withdraw,726.4,SA
tx_u0000_31317,u0000,2025-04-12 20:01:03,deposit,637.25,RU
tx_u0000_74354,u0000,2025-04-16 17:47:43,withdraw,2334.86,NG
tx_u0000_8250,u0000,2025-01-19 06:32:13,trade,8789.38,NG
tx_u0000_71735,u0000,2025-01-19 20:32:56,trade,39.47,NG
tx_u0000_13649,u0000,2025-02-20 15:53:56,trade,869.72,FR
tx_u0000_15925,u0000,2025-04-12 13:34:15,withdraw,368.13,IR
tx_u0000_42341,u0000,2025-02-22 11:27:32,deposit,3289.1,BR
tx_u0000_66080,u0000,2025-04-19 22:59:49,deposit,1345.61,SA
tx_u0000_77622,u0000,2025-04-01 16:49:12,withdraw,2093.96,RU
tx_u0000_44553,u0000,2025-03-03 10:49:03,withdraw,3124.82,NG
tx_u0000_74210,u0000,2025-03-02 22:27:39,trade,860.56,IR
tx_u0000_28707,u0000,2025-03-31 17:04:41,deposit,5022.43,BR
tx_u0000_32654,u0000,2025-05-01 19:47:49,trade,5660.22,RU
tx_u0000_78896,u0000,2025-02-16 15:55:08,trade,2259.48,US
tx_u0000_78170,u0000,2025-03-18 14:27:07,withdraw,499.71,CN
tx_u0000_35492,u0000,2025-01-14 03:03:38,trade,3817.19,NG
tx_u0000_54008,u0000,2025-06-03 18:24:55,deposit,508.44,CN
tx_u0000_70855,u0000,2025-03-23 18:16:15,deposit,851.74,IN
tx_u0000_22019,u0000,2025-05-24 08:57:49,deposit,1235.78,FR
tx_u0000_27089,u0000,2025-01-01 00:03:39,withdraw,356.87,BR
tx_u0000_14783,u0000,2025-02-08 17:27:09,withdraw,2025.0,SA
tx_u0001_63801,u0001,2025-03-31 01:50:48,deposit,9116.35,US
tx_u0001_11605,u0001,2025-05-03 23:25:55,withdraw,133.04,BR
tx_u0001_49359,u0001,2025-03-29 17:04:48,deposit,721.55,IR
tx_u0001_63862,u0001,2025-02-16 07:38:04,withdraw,627.21,IN
tx_u0001_24333,u0001,2025-06-18 02:44:51,trade,11755.92,US
tx_u0001_37161,u0001,2025-02-11 11:47:39,trade,397.97,SA
tx_u0001_48804,u0001,2025-01-16 13:17:52,trade,1060.55,US
tx_u0001_41891,u0001,2025-04-25 01:40:46,withdraw,96.32,US
tx_u0001_1522,u0001,2025-06-20 09:25:07,deposit,2163.45,CN
tx_u0001_86189,u0001,2025-03-18 04:29:24,trade,1261.4,BR
tx_u0001_40760,u0001,2025-05-14 04:54:03,deposit,1007.34,BR
tx_u0001_38107,u0001,2025-04-27 04:46:13,deposit,2573.05,BR
tx_u0001_25683,u0001,2025-06-11 14:47:20,withdraw,1507.95,BR
tx_u0001_10352,u0001,2025-03-07 13:04:36,withdraw,863.5,CN
tx_u0001_31219,u0001,2025-03-11 23:56:28,withdraw,49.99,RU
tx_u0001_34891,u0001,2025-04-10 18:28:27,deposit,3954.23,DE
tx_u0001_6590,u0001,2025-06-20 00:32:48,trade,672.04,SA
tx_u0001_96798,u0001,2025-03-31 09:17:57,withdraw,1348.94,NG
tx_u0001_69645,u0001,2025-02-04 05:02:56,deposit,5763.88,IR
tx_u0001_67073,u0001,2025-05-30 18:39:20,trade,413.4,NG
tx_u0001_20041,u0001,2025-03-29 11:25:27,trade,2105.08,DE
tx_u0001_88001,u0001,2025-01-13 11:40:51,deposit,4846.92,BR
tx_u0001_62202,u0001,2025-03-25 21:19:26,deposit,1835.75,RU
tx_u0001_49819,u0001,2025-06-07 05:15:26,deposit,4456.8,NG
tx_u0001_71263,u0001,2025-01-24 03:35:32,trade,332.03,BR
tx_u0001_14168,u0001,2025-05-07 07:49:00,trade,734.17,IN
tx_u0001_79296,u0001,2025-05-27 02:03:04,withdraw,6027.55,CN
tx_u0001_47224,u0001,2025-06-19 09:39:05,trade,4701.33,NG
tx_u0001_57760,u0001,2025-01-24 02:24:44,trade,3386.04,DE
tx_u0001_56866,u0001,2025-02-03 00:45:58,trade,288.45,CN
tx_u0001_63719,u0001,2025-04-17 09:40:13,trade,756.47,US
tx_u0001_16596,u0001,2025-05-26 13:22:02,deposit,2234.57,IR
tx_u0001_66585,u0001,2025-06-04 22:24:14,deposit,1664.39,NG
tx_u0001_51358,u0001,2025-04-15 19:39:30,withdraw,556.46,BR
tx_u0001_95550,u0001,2025-06-06 13:42:01,withdraw,1681.77,IN
tx_u0001_36014,u0001,2025-03-14 17:17:21,trade,1027.57,FR
tx_u0001_5828,u0001,2025-05-08 14:00:39,withdraw,745.18,RU
tx_u0001_97017,u0001,2025-05-22 06:40:34,withdraw,3669.97,IR
tx_u0001_72604,u0001,2025-05-29 17:21:33,deposit,2495.57,IN
tx_u0001_75761,u0001,2025-04-15 05:12:53,withdraw,1009.73,RU
tx_u0001_35657,u0001,2025-03-12 13:06:00,withdraw,40.68,SA
tx_u0001_89614,u0001,2025-05-22 05:45:15,deposit,2495.71,IR
tx_u0001_59486,u0001,2025-03-12 11:49:00,deposit,4115.17,NG
tx_u0001_72383,u0001,2025-01-01 06:50:48,withdraw,2172.95,SA
tx_u0001_30027,u0001,2025-04-09 01:37:43,deposit,2233.9,SA
tx_u0001_35182,u0001,2025-01-22 15:35:44,trade,1295.75,NG
tx_u0001_72442,u0001,2025-06-15 11:58:29,withdraw,1216.99,IR
tx_u0001_91299,u0001,2025-03-19 08:21:44,withdraw,2963.37,SA
tx_u0001_35232,u0001,2025-04-19 09:36:59,deposit,3105.84,NG
tx_u0001_21168,u0001,2025-02-14 18:48:30,deposit,433.03,BR
tx_u0001_56752,u0001,2025-03-31 01:06:13,trade,5307.17,NG
tx_u0001_90047,u0001,2025-05-14 16:38:18,withdraw,1401.28,DE
tx_u0001_67689,u0001,2025-06-19 08:28:13,trade,1386.09,RU
tx_u0001_69413,u0001,2025-04-30 19:55:12,withdraw,11671.54,US
tx_u0001_93320,u0001,2025-01-15 17:00:04,deposit,2846.96,CN
tx_u0001_37127,u0001,2025-01-08 22:20:08,deposit,1299.6,RU
tx_u0001_52340,u0001,2025-01-08 16:43:02,deposit,364.22,CN
tx_u0001_3379,u0001,2025-01-25 19:18:22,withdraw,967.86,FR
tx_u0001_49122,u0001,2025-01-07 23:10:29,withdraw,839.18,IR
tx_u0001_30034,u0001,2025-02-03 20:00:00,deposit,1829.23,DE
tx_u0001_80906,u0001,2025-04-01 05:16:38,deposit,149.99,CN
tx_u0001_43686,u0001,2025-04-16 23:02:44,withdraw,812.82,IR
tx_u0001_7349,u0001,2025-02-02 18:25:09,withdraw,262.49,CN
tx_u0001_82954,u0001,2025-01-26 01:41:52,deposit,743.21,RU
tx_u0001_20133,u0001,2025-01-18 17:08:06,withdraw,3607.91,DE
tx_u0001_9747,u0001,2025-03-17 00:20:19,trade,2090.14,BR
tx_u0001_433,u0001,2025-01-21 23:09:47,trade,1030.03,US
tx_u0001_39104,u0001,2025-02-11 21:45:20,deposit,3125.47,NG
tx_u0001_41896,u0001,2025-01-01 04:50:18,trade,340.89,IN
tx_u0001_51986,u0001,2025-06-22 13:17:04,deposit,1204.08,DE
tx_u0001_21738,u0001,2025-05-24 20:56:10,withdraw,5.14,DE
tx_u0001_27790,u0001,2025-03-19 15:16:17,deposit,6249.29,IN
tx_u0001_78565,u0001,2025-06-18 16:34:53,trade,1871.71,NG
tx_u0001_74967,u0001,2025-01-10 03:33:17,deposit,2788.55,FR
tx_u0001_30853,u0001,2025-04-18 03:37:21,trade,6683.9,RU
tx_u0001_70198,u0001,2025-06-22 15:08:34,withdraw,1771.02,RU
tx_u0001_96433,u0001,2025-05-11 22:40:57,deposit,423.76,RU
tx_u0001_72747,u0001,2025-03-18 12:49:40,deposit,2074.7,CN
tx_u0001_34916,u0001,2025-02-28 16:15:05,trade,703.26,US
tx_u0002_15418,u0002,2025-05-12 21:00:09,deposit,2766.64,IN
tx_u0002_46333,u0002,2025-02-10 11:10:32,withdraw,1970.11,IN
tx_u0002_75159,u0002,2025-05-05 08:05:51,withdraw,324.37,FR
tx_u0002_78307,u0002,2025-01-08 12:11:48,withdraw,2619.75,DE
tx_u0002_13488,u0002,2025-05-08 04:21:09,deposit,2816.62,CN
tx_u0002_13612,u0002,2025-02-15 21:00:14,deposit,853.53,IR
tx_u0002_80794,u0002,2025-01-31 09:31:54,trade,406.24,IN
tx_u0002_30176,u0002,2025-01-30 09:22:06,deposit,471.48,US
tx_u0002_87787,u0002,2025-02-18 05:20:08,trade,1033.58,FR
tx_u0002_37669,u0002,2025-02-01 00:15:46,trade,6096.31,IR
tx_u0002_99540,u0002,2025-04-09 19:32:32,withdraw,2039.73,IN
tx_u0002_3239,u0002,2025-06-06 21:07:04,withdraw,1493.96,NG
tx_u0002_65822,u0002,2025-05-31 19:49:37,withdraw,2535.03,RU
tx_u0002_25895,u0002,2025-01-07 15:13:27,withdraw,109.95,RU
tx_u0002_98293,u0002,2025-01-28 02:25:39,trade,1951.02,CN
tx_u0002_56024,u0002,2025-01-13 15:56:38,deposit,3630.59,SA
tx_u0002_56311,u0002,2025-02-19 17:03:13,trade,295.44,DE
tx_u0002_37884,u0002,2025-05-31 21:07:38,deposit,776.41,CN
tx_u0002_69862,u0002,2025-01-16 14:59:08,withdraw,129.73,US
tx_u0002_84910,u0002,2025-04-21 00:44:27,withdraw,1022.89,SA
tx_u0002_45651,u0002,2025-05-24 17:12:27,withdraw,400.65,RU
tx_u0002_39266,u0002,2025-02-12 15:06:16,trade,2850.69,NG
tx_u0002_22851,u0002,2025-03-10 10:54:58,trade,303.44,SA
tx_u0002_94026,u0002,2025-01-28 15:29:57,withdraw,1608.63,NG
tx_u0002_88736,u0002,2025-04-05 11:29:34,withdraw,4088.37,NG
tx_u0002_83594,u0002,2025-03-01 08:37:52,trade,170.86,SA
tx_u0002_99077,u0002,2025-04-15 05:47:08,trade,727.44,IN
tx_u0002_94899,u0002,2025-01-14 07:42:49,deposit,601.97,CN
tx_u0002_79935,u0002,2025-06-07 02:28:01,trade,5271.9,US
tx_u0002_64480,u0002,2025-01-18 12:14:54,trade,643.62,RU
tx_u0002_45090,u0002,2025-06-11 13:23:26,deposit,2086.14,DE
tx_u0002_64995,u0002,2025-06-09 11:34:10,deposit,1175.71,IR
tx_u0002_31851,u0002,2025-02-11 09:08:27,deposit,115.12,IN
tx_u0002_88261,u0002,2025-05-18 11:48:23,deposit,6115.89,IR
tx_u0002_31439,u0002,2025-03-06 07:20:35,withdraw,3907.61,IN
tx_u0002_60327,u0002,2025-06-03 09:29:59,trade,11519.69,DE
tx_u0002_49417,u0002,2025-05-15 07:55:24,withdraw,602.65,US
tx_u0002_76533,u0002,2025-06-19 12:15:51,deposit,1183.56,IN
tx_u0002_86948,u0002,2025-01-06 00:27:17,deposit,3126.89,FR
tx_u0002_84467,u0002,2025-03-06 01:46:11,trade,315.89,DE
tx_u0002_29077,u0002,2025-01-15 20:24:25,withdraw,7773.85,SA
tx_u0002_39972,u0002,2025-03-15 05:16:20,deposit,2633.77,BR
tx_u0002_55748,u0002,2025-04-20 16:51:46,deposit,1349.78,RU
tx_u0002_17613,u0002,2025-01-21 21:09:26,deposit,3124.6,BR
tx_u0003_27939,u0003,2025-05-11 04:55:20,trade,2162.3,NG
tx_u0003_58230,u0003,2025-04-17 04:47:38,withdraw,6844.73,CN
tx_u0003_58670,u0003,2025-04-28 21:38:42,deposit,1099.13,CN
tx_u0003_79156,u0003,2025-05-07 02:14:26,deposit,1221.86,FR
tx_u0003_97753,u0003,2025-05-03 20:58:17,trade,607.11,SA
tx_u0003_35367,u0003,2025-03-15 14:20:55,deposit,412.39,DE
tx_u0003_28098,u0003,2025-05-03 19:14:14,withdraw,908.84,SA
tx_u0003_6121,u0003,2025-01-30 21:14:28,deposit,5892.44,NG
tx_u0003_44081,u0003,2025-03-09 20:41:14,withdraw,928.19,US
tx_u0003_28110,u0003,2025-06-08 12:36:50,trade,6441.22,NG
tx_u0003_48673,u0003,2025-04-16 02:55:09,trade,88.56,US
tx_u0003_45662,u0003,2025-05-03 03:34:40,trade,5917.16,NG
tx_u0003_19351,u0003,2025-03-01 19:02:15,withdraw,766.31,IR
tx_u0003_6865,u0003,2025-06-13 00:12:59,deposit,2384.1,DE
tx_u0003_86812,u0003,2025-03-14 19:36:20,trade,732.86,SA
tx_u0003_23168,u0003,2025-06-11 07:40:44,withdraw,2873.96,DE
tx_u0003_65082,u0003,2025-05-04 19:14:15,withdraw,1459.44,SA
tx_u0003_83600,u0003,2025-06-13 11:32:05,deposit,859.37,NG
tx_u0003_73082,u0003,2025-02-11 10:56:25,trade,606.78,FR
tx_u0003_86805,u0003,2025-03-12 14:17:31,trade,2519.39,DE
tx_u0004_34853,u0004,2025-01-14 07:19:11,trade,2247.27,FR
tx_u0004_38248,u0004,2025-05-27 09:23:22,deposit,308.18,IR
tx_u0004_37493,u0004,2025-01-02 23:36:32,trade,7289.06,IN
tx_u0004_16414,u0004,2025-04-07 10:19:19,trade,2450.4,IN
tx_u0004_70123,u0004,2025-04-06 18:32:23,deposit,2167.3,BR
tx_u0004_91825,u0004,2025-01-13 20:56:09,trade,1156.46,NG
tx_u0004_36022,u0004,2025-03-21 17:29:36,trade,1563.84,NG
tx_u0004_68951,u0004,2025-05-31 05:45:48,trade,3875.68,DE
tx_u0004_52652,u0004,2025-01-25 09:03:12,trade,730.96,DE
tx_u0004_87844,u0004,2025-05-13 16:35:13,deposit,413.13,SA
tx_u0004_98757,u0004,2025-05-02 08:44:11,deposit,4078.24,IN
tx_u0004_10357,u0004,2025-04-01 07:21:16,deposit,81.46,IN
tx_u0004_96987,u0004,2025-03-14 12:33:58,withdraw,1836.19,DE
tx_u0004_931,u0004,2025-04-07 05:06:46,trade,1662.59,DE
tx_u0004_45372,u0004,2025-04-04 05:27:29,withdraw,636.93,FR
tx_u0004_59233,u0004,2025-05-26 08:59:35,deposit,7041.19,NG
tx_u0004_8642,u0004,2025-02-25 13:55:34,deposit,1653.45,CN
tx_u0004_32157,u0004,2025-03-04 14:19:48,deposit,3795.15,NG
tx_u0004_28948,u0004,2025-03-06 12:14:25,withdraw,171.34,FR
tx_u0004_66011,u0004,2025-04-05 12:03:50,trade,4361.86,IN
tx_u0004_74634,u0004,2025-05-20 10:16:48,withdraw,1897.12,CN
tx_u0004_81613,u0004,2025-05-25 12:36:12,withdraw,1763.59,US
tx_u0004_81171,u0004,2025-05-20 23:57:08,withdraw,406.86,RU
tx_u0004_71828,u0004,2025-01-07 01:37:34,withdraw,983.52,SA
tx_u0004_57581,u0004,2025-01-21 21:37:17,deposit,723.41,FR
tx_u0004_60949,u0004,2025-06-13 11:21:43,withdraw,290.21,DE
tx_u0004_72603,u0004,2025-05-01 14:25:29,trade,2778.94,NG
tx_u0004_53485,u0004,2025-03-20 19:41:02,trade,1156.74,BR
tx_u0004_96458,u0004,2025-03-20 08:18:49,deposit,5345.0,CN
tx_u0004_97403,u0004,2025-01-29 05:19:32,trade,3114.95,CN
tx_u0004_19321,u0004,2025-06-01 06:32:36,deposit,2119.37,RU
tx_u0004_98332,u0004,2025-06-16 10:13:44,trade,2927.13,IN
tx_u0004_38960,u0004,2025-06-09 10:13:22,withdraw,6608.8,BR
tx_u0004_34367,u0004,2025-06-05 11:31:04,withdraw,6201.94,DE
tx_u0004_60177,u0004,2025-06-02 15:30:35,trade,2215.78,NG
tx_u0004_55485,u0004,2025-02-23 00:01:35,trade,6651.6,RU
tx_u0004_83822,u0004,2025-04-16 10:46:58,withdraw,1757.21,NG
tx_u0004_96956,u0004,2025-02-14 04:54:25,withdraw,2684.57,DE
tx_u0004_20443,u0004,2025-06-13 15:05:57,deposit,1366.51,IR
tx_u0004_20289,u0004,2025-04-01 05:41:33,trade,1209.8,CN
tx_u0004_11378,u0004,2025-03-12 17:46:16,withdraw,1241.32,FR
tx_u0004_98338,u0004,2025-05-11 23:54:45,withdraw,399.15,RU
tx_u0004_11405,u0004,2025-03-10 09:36:56,trade,3790.88,DE
tx_u0004_19686,u0004,2025-03-12 07:16:22,withdraw,7650.14,CN
tx_u0004_20113,u0004,2025-01-11 21:27:58,trade,906.15,IR
tx_u0004_48300,u0004,2025-03-05 11:35:02,trade,369.32,US
tx_u0004_60373,u0004,2025-04-07 11:32:26,deposit,307.56,BR
tx_u0004_51777,u0004,2025-01-07 08:46:43,trade,812.19,IR
tx_u0004_64588,u0004,2025-06-10 07:30:59,trade,4249.59,IR
tx_u0004_88171,u0004,2025-03-02 02:36:57,trade,220.0,SA
tx_u0004_91121,u0004,2025-02-09 15:34:28,withdraw,6149.43,CN
tx_u0004_40606,u0004,2025-05-22 17:21:48,withdraw,1854.17,FR
tx_u0004_24129,u0004,2025-03-21 13:24:41,deposit,1790.57,SA
tx_u0004_27189,u0004,2025-03-21 00:54:30,withdraw,392.48,US
tx_u0004_13701,u0004,2025-05-13 04:27:32,trade,396.74,US
tx_u0004_58708,u0004,2025-06-04 17:00:42,withdraw,578.0,SA
tx_u0004_78003,u0004,2025-04-05 01:08:57,deposit,89.07,RU
tx_u0004_1267,u0004,2025-01-18 01:04:58,trade,3306.35,DE
tx_u0004_22868,u0004,2025-05-15 03:36:26,trade,2720.84,IR
tx_u0004_30372,u0004,2025-06-04 08:58:24,withdraw,852.62,IR
tx_u0004_55245,u0004,2025-05-20 17:30:08,deposit,1499.43,NG
tx_u0004_76437,u0004,2025-01-03 06:05:20,trade,414.33,IR
tx_u0004_38182,u0004,2025-05-14 17:32:12,withdraw,30.97,DE
tx_u0004_85279,u0004,2025-01-07 01:05:47,trade,270.31,CN
tx_u0004_69003,u0004,2025-01-03 16:01:06,withdraw,2421.95,US
tx_u0004_5356,u0004,2025-03-27 19:07:56,trade,480.99,BR
tx_u0004_31085,u0004,2025-03-20 11:15:10,trade,1608.01,IN
tx_u0004_93936,u0004,2025-04-26 06:44:14,withdraw,5270.7,DE
tx_u0004_80166,u0004,2025-03-04 17:52:03,trade,398.98,IR
tx_u0004_81821,u0004,2025-03-18 16:17:42,deposit,274.07,NG
tx_u0004_96071,u0004,2025-01-17 09:34:17,deposit,1585.28,SA
tx_u0004_63691,u0004,2025-01-31 03:44:13,trade,131.82,BR
tx_u0004_55382,u0004,2025-03-02 16:16:12,withdraw,9265.06,DE
tx_u0004_53551,u0004,2025-02-20 19:58:57,deposit,324.63,IR
tx_u0004_88522,u0004,2025-04-26 18:08:48,trade,299.94,SA
tx_u0004_72144,u0004,2025-04-10 15:43:30,trade,1352.31,NG
tx_u0004_57239,u0004,2025-01-24 20:45:40,deposit,295.39,BR
tx_u0004_13662,u0004,2025-02-13 12:41:13,deposit,3959.84,SA
tx_u0004_80247,u0004,2025-06-18 06:12:48,trade,1984.73,US
tx_u0004_56781,u0004,2025-06-03 14:47:44,deposit,454.9,IR
tx_u0004_15343,u0004,2025-04-22 16:32:17,deposit,1762.0,NG
tx_u0004_3069,u0004,2025-01-19 08:53:33,trade,228.34,SA
tx_u0004_40340,u0004,2025-06-12 17:09:48,withdraw,127.98,RU
tx_u0004_42607,u0004,2025-05-04 05:05:47,trade,5729.54,BR
tx_u0005_84274,u0005,2025-04-14 13:18:23,trade,1171.68,FR
tx_u0005_22014,u0005,2025-04-21 01:54:32,trade,435.67,IN
tx_u0005_8628,u0005,2025-05-03 07:48:25,trade,3681.44,DE
tx_u0005_98141,u0005,2025-04-09 13:07:13,deposit,1329.56,NG
tx_u0005_83173,u0005,2025-02-07 07:42:57,trade,1978.43,FR
tx_u0005_34248,u0005,2025-06-13 15:42:01,deposit,2295.51,NG
tx_u0005_85555,u0005,2025-06-02 10:33:55,trade,299.8,IN
tx_u0005_97501,u0005,2025-01-13 06:10:21,deposit,590.94,IN
tx_u0005_68177,u0005,2025-05-24 03:58:40,trade,1111.31,IR
tx_u0005_13092,u0005,2025-02-12 22:42:43,deposit,1690.37,US
tx_u0006_67476,u0006,2025-01-09 09:57:56,withdraw,2297.66,US
tx_u0006_66957,u0006,2025-04-18 09:00:28,trade,183.93,NG
tx_u0006_94159,u0006,2025-01-16 03:37:55,deposit,1471.8,CN
tx_u0006_95186,u0006,2025-01-22 13:20:36,trade,2806.98,CN
tx_u0006_27961,u0006,2025-03-09 03:51:19,withdraw,1455.84,IR
tx_u0006_40586,u0006,2025-03-10 06:59:47,trade,1101.02,CN
tx_u0006_23719,u0006,2025-05-18 16:58:08,deposit,53.53,CN
tx_u0006_14798,u0006,2025-02-05 08:49:36,deposit,3365.61,CN
tx_u0006_58904,u0006,2025-05-17 10:19:41,deposit,1970.35,DE
tx_u0006_85174,u0006,2025-01-13 20:56:40,trade,3100.42,NG
tx_u0006_891,u0006,2025-05-15 02:39:38,trade,1685.01,BR
tx_u0006_23076,u0006,2025-03-06 20:37:49,withdraw,528.38,RU
tx_u0006_87815,u0006,2025-01-18 10:26:05,withdraw,2162.21,IN
tx_u0006_22600,u0006,2025-01-14 10:51:45,trade,1933.63,IR
tx_u0006_66048,u0006,2025-03-20 10:04:57,deposit,685.0,FR
tx_u0006_36736,u0006,2025-02-16 12:02:37,withdraw,968.18,FR
tx_u0006_8635,u0006,2025-01-27 11:33:58,trade,2072.48,US
tx_u0006_39773,u0006,2025-06-14 10:49:12,withdraw,1510.84,CN
tx_u0006_12557,u0006,2025-01-06 19:40:38,withdraw,2781.44,FR
tx_u0006_168,u0006,2025-02-13 12:44:24,deposit,933.78,NG
tx_u0006_8091,u0006,2025-01-23 20:36:54,deposit,673.75,FR
tx_u0006_75285,u0006,2025-06-02 04:26:36,deposit,169.22,FR
tx_u0006_19170,u0006,2025-06-07 06:03:31,deposit,790.44,IR
tx_u0006_27027,u0006,2025-02-14 00:02:53,deposit,480.04,BR
tx_u0006_54577,u0006,2025-03-25 07:37:19,deposit,1810.17,US
tx_u0006_3019,u0006,2025-05-04 11:53:00,deposit,637.24,FR
tx_u0006_70880,u0006,2025-01-13 10:55:08,deposit,3619.38,IR
tx_u0006_89735,u0006,2025-05-20 23:53:12,deposit,1752.58,SA
tx_u0006_88605,u0006,2025-02-12 01:43:01,withdraw,88.06,BR
tx_u0006_85994,u0006,2025-04-12 14:42:08,deposit,870.55,IR
tx_u0006_59932,u0006,2025-05-04 14:21:29,deposit,8991.89,NG
tx_u0006_92551,u0006,2025-02-19 02:34:17,deposit,115.52,BR
tx_u0006_80889,u0006,2025-04-26 11:20:30,withdraw,698.1,FR
tx_u0006_68329,u0006,2025-02-12 05:41:46,trade,7456.82,CN
tx_u0006_93783,u0006,2025-06-15 03:39:56,trade,1246.05,BR
tx_u0006_30223,u0006,2025-04-17 20:28:31,deposit,213.11,BR
tx_u0006_19902,u0006,2025-06-12 20:35:37,trade,2698.43,FR
tx_u0006_80823,u0006,2025-01-14 03:00:20,trade,1656.13,DE
tx_u0006_43591,u0006,2025-03-18 06:57:20,deposit,5157.03,US
tx_u0006_17291,u0006,2025-04-16 13:10:56,deposit,3009.15,NG
tx_u0006_21395,u0006,2025-05-01 00:27:11,withdraw,1249.64,NG
tx_u0006_86163,u0006,2025-06-05 04:26:34,deposit,4483.22,NG
tx_u0006_70789,u0006,2025-06-06 00:30:42,trade,22.67,IR
tx_u0006_69558,u0006,2025-06-14 03:11:25,trade,1040.19,RU
tx_u0006_86070,u0006,2025-06-02 23:12:25,deposit,3752.01,FR
tx_u0006_17491,u0006,2025-03-21 17:27:06,withdraw,1690.11,CN
tx_u0006_1283,u0006,2025-05-19 04:09:32,deposit,3217.89,DE
tx_u0006_79509,u0006,2025-06-19 04:08:58,deposit,898.02,US
tx_u0006_19440,u0006,2025-05-02 06:50:23,trade,973.56,SA
tx_u0006_6085,u0006,2025-05-05 05:35:45,trade,2817.28,DE
tx_u0006_85787,u0006,2025-05-03 04:27:43,withdraw,2447.0,SA
tx_u0006_96055,u0006,2025-01-15 08:09:52,trade,572.14,DE
tx_u0006_51395,u0006,2025-01-13 09:09:07,deposit,3231.31,IR
tx_u0006_9239,u0006,2025-03-30 05:10:37,deposit,89.83,CN
